TileId,x,y,grid_row,grid_col,person_count
624,6200,3978.647698,16,25,91
625,6300,4000,17,26,98
626,6750,3800,16,28,128
627,6950,4000,17,28,138
628,7050,3994.577064,16,29,107
629,7300,3950,16,30,97
630,7503.038393,4000,17,31,144
631,7803.038393,4000,17,32,173
632,8008.117077,3990.285931,16,33,42
635,9000,3950,16,37,4
636,9100,4000,17,37,10
637,9350,4000,17,38,10
638,9600,4000,17,39,6
639,9800,4000,17,40,13
642,550,4250,18,3,3
643,900,4200,17,4,6
644,1050,4232.760024,17,5,4
646,1550,4196.796142,17,7,7
647,1800,4086.146587,17,8,7
648,2200,4150,17,9,7
649,2500,4200,17,11,13
650,2505.284987,4100,17,11,12
651,2950,4236.84533,17,12,15
652,3013.15467,4200,17,13,21
653,3450,4200,17,14,38
654,3700,4194.062487,17,15,94
655,3900,4150,17,16,105
656,4050,4050,17,17,50
657,4400,4051.770849,17,18,42
658,4650,4234.493408,17,19,32
659,4850,4050,17,20,23
660,5156.650921,4100,17,21,19
661,5400,4050,17,22,42
662,5750,4150,17,24,39
663,5800,4250,18,24,40
664,6250,4228.647698,17,26,32
665,6350,4250,18,26,42
666,6550,4200,17,27,64
667,7000,4200,17,29,94
668,7200,4250,18,29,124
669,7300,4250,18,30,110
670,7550,4050,17,31,83
671,7982.223097,4019.319245,17,32,116
672,8007.191772,4003.448689,17,33,51
675,9000,4250,18,37,3
676,9050,4250,18,37,10
677,9300,4050,17,38,10
678,9550,4250,18,39,6
679,9800,4250,18,40,9
681,411.579099,4256.435898,18,2,5
682,750,4350,18,4,1
683,1000,4482.760024,18,5,8
684,1050,4332.760024,18,5,4
685,1400,4500,19,6,6
686,1503.203858,4450,18,7,7
688,2200,4450,18,9,12
689,2400,4500,19,10,14
690,2700,4500,19,11,11
691,2900,4486.84533,18,12,15
692,3050,4394.181368,18,13,21
693,3400,4450,18,14,83
694,3605.937513,4500,19,15,101
695,3900,4450,18,16,32
696,4250,4491.585174,18,18,7
697,4398.229151,4350,18,18,14
698,4650,4434.493408,18,19,5
699,4986.84533,4500,19,20,2
700,5250,4300,18,22,7
701,5500,4350,18,23,24
702,5550,4450,18,23,34
703,5850,4500,19,24,38
704,6100,4434.309068,18,25,42
705,6400,4500,19,26,58
706,6600,4450,18,27,51
707,7000,4350,18,29,47
708,7194.577064,4450,18,29,50
709,7450,4500,19,30,48
710,7550,4500,19,31,17
711,7800,4300,18,32,49
712,8100,4350,18,33,23
713,8271.021513,4450,18,34,2
714,8550,4500,19,35,6
715,8800,4500,19,36,4
716,9050,4300,18,37,2
717,9400,4300,18,38,7
718,9550,4300,18,39,5
719,9800,4300,18,40,1
721,450,4600,19,2,10
722,750,4650,19,4,10
723,1000,4682.760024,19,5,8
725,1450,4696.796142,19,6,6
726,1550,4734.470848,19,7,9
727,1950,4650,19,8,10
728,2200,4750,20,9,16
729,2350,4750,20,10,10
730,2650,4750,20,11,12
731,2900,4686.84533,19,12,15
732,3150,4646.961607,19,13,74
733,3500,4694.062487,19,15,114
734,3550,4644.062487,19,15,43
735,3850,4700,19,16,19
736,4250,4750,20,18,15
737,4300,4600,19,18,25
738,4615.506592,4700,19,19,21
739,5000,4600,19,21,27
740,5250,4600,19,22,29
741,5300,4700,19,22,31
742,5600,4550,19,23,49
743,6000,4650,19,25,37
